iter	Passed	Remaining
0	0	76
1	1	74
2	2	75
3	3	76
4	3	74
5	4	72
6	5	70
7	5	68
8	6	68
9	7	67
10	8	67
11	9	66
12	9	66
13	10	65
14	11	64
15	12	64
16	12	63
17	13	62
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	31	42
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	50	19
72	51	19
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	67	0
99	68	0
